
Steady-state run  :  SOLVIT

      LOOPCT    ;   RELXCC   ;         NRLXCC        ;   ENBALA   ;   ENBALR   ;   DAMPT  ;  VTPSEQ
 1 ------------------------->    8.72928 % ;  3792.000 ;   10.00000  ;      8 ; -6.322e-005 ;     2100 (ionsat_dep) ; 3.568e-003 ;  1.062e-002 ;     2100 (ionsat_dep) ;    19.004 
 1 ------------------------->    8.95948 % ;  3892.000 ;   10.00000  ;      8 ; -6.140e-005 ;     2100 (ionsat_dep) ; 1.674e-003 ;  1.107e-002 ;     2100 (ionsat_dep) ;    18.744 
 1 ------------------------->    9.18969 % ;  3992.000 ;   10.00000  ;      8 ; -5.556e-005 ;     2100 (ionsat_dep) ; 1.973e-003 ;  1.024e-002 ;     2100 (ionsat_dep) ;    19.236 
 1 ------------------------->    9.41989 % ;  4092.000 ;   10.00000  ;      8 ; -7.583e-005 ;     2100 (ionsat_dep) ; 4.290e-003 ;  1.119e-002 ;     2100 (ionsat_dep) ;    18.675 
 1 ------------------------->    9.65009 % ;  4192.000 ;   10.00000  ;      8 ; -6.102e-005 ;     2100 (ionsat_dep) ; 5.811e-003 ;  1.059e-002 ;     2100 (ionsat_dep) ;    19.024 
 1 ------------------------->    9.88029 % ;  4292.000 ;   10.00000  ;      7 ; -9.813e-005 ;     2100 (ionsat_dep) ; 1.254e-002 ;  1.006e-002 ;     2100 (ionsat_dep) ;    19.350 
 1 ------------------------->   10.09208 % ;  4384.000 ;   10.00000  ;      8 ; -5.358e-005 ;     2100 (ionsat_dep) ; 9.502e-003 ;  9.658e-003 ;     2100 (ionsat_dep) ;    19.616 
 1 ------------------------->   10.32228 % ;  4484.000 ;   10.00000  ;      8 ; -6.198e-005 ;     2705 (ionsat_dep) ; 1.271e-002 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.119 
 1 ------------------------->   10.55249 % ;  4584.000 ;   10.00000  ;      7 ; -9.517e-005 ;     2100 (ionsat_dep) ; 2.051e-002 ;  1.025e-002 ;     2100 (ionsat_dep) ;    19.233 
 1 ------------------------->   10.78269 % ;  4684.000 ;   10.00000  ;      8 ; -6.843e-005 ;     2705 (ionsat_dep) ; 1.413e-002 ;  9.944e-003 ;     2100 (ionsat_dep) ;    19.426 
 1 ------------------------->   11.01289 % ;  4784.000 ;   10.00000  ;      7 ; -8.969e-005 ;     2705 (ionsat_dep) ; 2.035e-002 ;  9.259e-003 ;     2100 (ionsat_dep) ;    19.894 
 1 ------------------------->   11.24309 % ;  4884.000 ;   10.00000  ;      8 ; -5.825e-005 ;     2100 (ionsat_dep) ; 1.186e-002 ;  1.055e-002 ;     2100 (ionsat_dep) ;    19.049 
 1 ------------------------->   11.47330 % ;  4984.000 ;   10.00000  ;      7 ; -9.875e-005 ;     2100 (ionsat_dep) ; 1.497e-002 ;  1.080e-002 ;     2100 (ionsat_dep) ;    18.899 
 1 ------------------------->   11.70350 % ;  5084.000 ;   10.00000  ;      9 ; 4.333e-005 ;      807 (ionsat_dep) ; 5.533e-003 ;  2.064e-002 ;     1401 (ionsat_dep) ;    15.229 
 1 ------------------------->   11.93370 % ;  5184.000 ;   10.00000  ;      7 ; -7.975e-005 ;     2100 (ionsat_dep) ; 1.879e-002 ;  9.520e-003 ;     2100 (ionsat_dep) ;    19.711 
 1 ------------------------->   12.16390 % ;  5284.000 ;   10.00000  ;      8 ; -6.006e-005 ;     2705 (ionsat_dep) ; 1.281e-002 ;  1.060e-002 ;     2100 (ionsat_dep) ;    19.018 
 1 ------------------------->   12.39411 % ;  5384.000 ;   10.00000  ;      8 ; -6.155e-005 ;     2705 (ionsat_dep) ; 1.291e-002 ;  1.042e-002 ;     2100 (ionsat_dep) ;    19.126 
 1 ------------------------->   12.62431 % ;  5484.000 ;   10.00000  ;      8 ; -5.527e-005 ;     2100 (ionsat_dep) ; 1.137e-002 ;  1.035e-002 ;     2100 (ionsat_dep) ;    19.171 
 1 ------------------------->   12.85451 % ;  5584.000 ;   10.00000  ;      8 ; -5.744e-005 ;     2100 (ionsat_dep) ; 9.371e-003 ;  1.041e-002 ;     2100 (ionsat_dep) ;    19.131 
 1 ------------------------->   13.08471 % ;  5684.000 ;   10.00000  ;      8 ; -6.149e-005 ;     2100 (ionsat_dep) ; 7.704e-003 ;  1.053e-002 ;     2100 (ionsat_dep) ;    19.058 
 1 ------------------------->   13.31492 % ;  5784.000 ;   10.00000  ;      8 ; -6.338e-005 ;     2100 (ionsat_dep) ; 7.626e-003 ;  1.051e-002 ;     2100 (ionsat_dep) ;    19.074 
 1 ------------------------->   13.54512 % ;  5884.000 ;   10.00000  ;      8 ; -5.514e-005 ;     2100 (ionsat_dep) ; 5.937e-003 ;  1.005e-002 ;     2100 (ionsat_dep) ;    19.358 
 1 ------------------------->   13.77532 % ;  5984.000 ;   10.00000  ;      8 ; -5.825e-005 ;     2100 (ionsat_dep) ; 4.847e-003 ;  1.035e-002 ;     2100 (ionsat_dep) ;    19.168 
 1 ------------------------->   14.00552 % ;  6084.000 ;   10.00000  ;      8 ; -6.315e-005 ;     2100 (ionsat_dep) ; 4.618e-003 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.121 
 1 ------------------------->   14.23573 % ;  6184.000 ;   10.00000  ;      8 ; -5.594e-005 ;     2100 (ionsat_dep) ; 3.533e-003 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.343 
 1 ------------------------->   14.46593 % ;  6284.000 ;   10.00000  ;      8 ; -6.175e-005 ;     2100 (ionsat_dep) ; 3.230e-003 ;  1.020e-002 ;     2100 (ionsat_dep) ;    19.264 
 1 ------------------------->   14.69613 % ;  6384.000 ;   10.00000  ;      8 ; -5.485e-005 ;     2100 (ionsat_dep) ; 2.451e-003 ;  9.904e-003 ;     2100 (ionsat_dep) ;    19.452 
 1 ------------------------->   14.92634 % ;  6484.000 ;   10.00000  ;      8 ; -6.151e-005 ;     2100 (ionsat_dep) ; 1.893e-003 ;  1.035e-002 ;     2100 (ionsat_dep) ;    19.172 
 1 ------------------------->   15.13812 % ;  6576.000 ;   10.00000  ;      8 ; -6.000e-005 ;     2100 (ionsat_dep) ; 1.794e-003 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.348 
 1 ------------------------->   15.36832 % ;  6676.000 ;   10.00000  ;      7 ; -9.932e-005 ;     2100 (ionsat_dep) ; 2.052e-003 ;  9.971e-003 ;     2100 (ionsat_dep) ;    19.409 
 1 ------------------------->   15.59853 % ;  6776.000 ;   10.00000  ;      8 ; -5.790e-005 ;     2100 (ionsat_dep) ; 9.984e-004 ;  1.021e-002 ;     2100 (ionsat_dep) ;    19.254 
 1 ------------------------->   15.82873 % ;  6876.000 ;   10.00000  ;      7 ; -9.838e-005 ;     2100 (ionsat_dep) ; 1.191e-003 ;  9.911e-003 ;     2100 (ionsat_dep) ;    19.448 
 1 ------------------------->   16.05893 % ;  6976.000 ;   10.00000  ;      8 ; -5.773e-005 ;     2100 (ionsat_dep) ; 5.164e-004 ;  1.018e-002 ;     2100 (ionsat_dep) ;    19.276 
 1 ------------------------->   16.28913 % ;  7076.000 ;   10.00000  ;      7 ; -9.880e-005 ;     2100 (ionsat_dep) ; 5.962e-004 ;  9.943e-003 ;     2100 (ionsat_dep) ;    19.427 
 1 ------------------------->   16.51934 % ;  7176.000 ;   10.00000  ;      8 ; -5.803e-005 ;     2100 (ionsat_dep) ; 5.500e-004 ;  1.022e-002 ;     2100 (ionsat_dep) ;    19.251 
 1 ------------------------->   16.74954 % ;  7276.000 ;   10.00000  ;     10 ; 5.713e-005 ;     2100 (ionsat_dep) ; 4.192e-003 ;  2.058e-002 ;     2104 (ionsat_dep) ;    15.244 
 1 ------------------------->   16.97974 % ;  7376.000 ;   10.00000  ;      8 ; 9.440e-005 ;     2705 (ionsat_dep) ; 2.033e-002 ;  1.076e-002 ;     2100 (ionsat_dep) ;    18.923 
 1 ------------------------->   17.20994 % ;  7476.000 ;   10.00000  ;      8 ; 8.521e-005 ;     2705 (ionsat_dep) ; 1.919e-002 ;  8.850e-003 ;     2100 (ionsat_dep) ;    20.196 
 1 ------------------------->   17.44015 % ;  7576.000 ;   10.00000  ;      8 ; 9.160e-005 ;     2705 (ionsat_dep) ; 1.900e-002 ;  6.393e-003 ;     2100 (ionsat_dep) ;    22.509 
 1 ------------------------->   17.67035 % ;  7676.000 ;   10.00000  ;      8 ; 8.502e-005 ;     2705 (ionsat_dep) ; 1.719e-002 ;  4.929e-003 ;     2100 (ionsat_dep) ;    24.546 
 1 ------------------------->   17.90055 % ;  7776.000 ;   10.00000  ;      8 ; 6.963e-005 ;     2705 (ionsat_dep) ; 1.470e-002 ;  4.011e-003 ;     2100 (ionsat_dep) ;    26.291 
 1 ------------------------->   18.13076 % ;  7876.000 ;   10.00000  ;      8 ; 6.818e-005 ;     2705 (ionsat_dep) ; 1.403e-002 ;  2.767e-003 ;     2100 (ionsat_dep) ;    29.758 
 1 ------------------------->   18.36096 % ;  7976.000 ;   10.00000  ;      8 ; 7.084e-005 ;     2705 (ionsat_dep) ; 1.450e-002 ;  4.119e-003 ;     2100 (ionsat_dep) ;    26.061 
 1 ------------------------->   18.59116 % ;  8076.000 ;   10.00000  ;      8 ; 7.080e-005 ;     2705 (ionsat_dep) ; 1.443e-002 ;  5.659e-003 ;     2100 (ionsat_dep) ;    23.442 
 1 ------------------------->   18.82136 % ;  8176.000 ;   10.00000  ;      7 ; 9.251e-005 ;     2705 (ionsat_dep) ; 2.266e-002 ;  7.514e-003 ;     2100 (ionsat_dep) ;    21.328 
 1 ------------------------->   19.05157 % ;  8276.000 ;   10.00000  ;      8 ; 6.304e-005 ;     2705 (ionsat_dep) ; 1.296e-002 ;  9.526e-003 ;     2100 (ionsat_dep) ;    19.706 
 1 ------------------------->   19.28177 % ;  8376.000 ;   10.00000  ;      7 ; 8.247e-005 ;     2705 (ionsat_dep) ; 2.085e-002 ;  9.835e-003 ;     2100 (ionsat_dep) ;    19.497 
 1 ------------------------->   19.51197 % ;  8476.000 ;   10.00000  ;      7 ; 9.732e-005 ;     2100 (ionsat_dep) ; 2.173e-002 ;  9.923e-003 ;     2100 (ionsat_dep) ;    19.440 
 1 ------------------------->   19.74217 % ;  8576.000 ;   10.00000  ;      7 ; 9.905e-005 ;     2100 (ionsat_dep) ; 2.020e-002 ;  1.006e-002 ;     2100 (ionsat_dep) ;    19.353 
 1 ------------------------->   19.97238 % ;  8676.000 ;   10.00000  ;      8 ; 5.507e-005 ;     2100 (ionsat_dep) ; 9.641e-003 ;  1.028e-002 ;     2100 (ionsat_dep) ;    19.213 
 1 ------------------------->   20.18416 % ;  8768.000 ;   10.00000  ;      7 ; 9.761e-005 ;     2100 (ionsat_dep) ; 1.556e-002 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.343 
 1 ------------------------->   20.41436 % ;  8868.000 ;   10.00000  ;      7 ; 5.499e-005 ;     2100 (ionsat_dep) ; 1.198e-002 ;  8.808e-003 ;     2100 (ionsat_dep) ;    20.228 
 1 ------------------------->   20.64457 % ;  8968.000 ;   10.00000  ;      8 ; 6.214e-005 ;     2100 (ionsat_dep) ; 6.184e-003 ;  1.111e-002 ;     2100 (ionsat_dep) ;    18.719 
 1 ------------------------->   20.87477 % ;  9068.000 ;   10.00000  ;      8 ; 6.142e-005 ;     2100 (ionsat_dep) ; 5.907e-003 ;  1.060e-002 ;     2100 (ionsat_dep) ;    19.014 
 1 ------------------------->   21.10497 % ;  9168.000 ;   10.00000  ;      7 ; 9.795e-005 ;     2100 (ionsat_dep) ; 5.728e-003 ;  1.022e-002 ;     2100 (ionsat_dep) ;    19.248 
 1 ------------------------->   21.33517 % ;  9268.000 ;   10.00000  ;      8 ; 5.865e-005 ;     2100 (ionsat_dep) ; 2.146e-003 ;  1.041e-002 ;     2100 (ionsat_dep) ;    19.134 
 1 ------------------------->   21.56538 % ;  9368.000 ;   10.00000  ;      8 ; 5.440e-005 ;     2100 (ionsat_dep) ; 1.703e-003 ;  1.027e-002 ;     2100 (ionsat_dep) ;    19.221 
