
Steady-state run  :  SOLVIT

      LOOPCT    ;   RELXCC   ;         NRLXCC        ;   ENBALA   ;   ENBALR   ;   DAMPT  ;  VTPSEQ
 1 ------------------------->   21.79558 % ;  9468.000 ;   10.00000  ;      8 ; 5.799e-005 ;     2100 (ionsat_dep) ; 3.594e-003 ;  1.047e-002 ;     2100 (ionsat_dep) ;    19.096 
 1 ------------------------->   22.02578 % ;  9568.000 ;   10.00000  ;      8 ; 6.020e-005 ;     2100 (ionsat_dep) ; 5.493e-003 ;  1.052e-002 ;     2100 (ionsat_dep) ;    19.063 
 1 ------------------------->   22.25599 % ;  9668.000 ;   10.00000  ;      8 ; 6.234e-005 ;     2100 (ionsat_dep) ; 8.475e-003 ;  1.048e-002 ;     2100 (ionsat_dep) ;    19.089 
 1 ------------------------->   22.48619 % ;  9768.000 ;   10.00000  ;      8 ; 5.438e-005 ;     2100 (ionsat_dep) ; 9.765e-003 ;  1.008e-002 ;     2100 (ionsat_dep) ;    19.339 
 1 ------------------------->   22.71639 % ;  9868.000 ;   10.00000  ;      8 ; -5.588e-005 ;     2705 (ionsat_dep) ; 1.154e-002 ;  1.020e-002 ;     2100 (ionsat_dep) ;    19.264 
 1 ------------------------->   22.94659 % ;  9968.000 ;   10.00000  ;      7 ; 9.413e-005 ;     2100 (ionsat_dep) ; 1.839e-002 ;  1.046e-002 ;     2100 (ionsat_dep) ;    19.102 
 1 ------------------------->   23.17680 % ; 10068.000 ;   10.00000  ;      8 ; -6.623e-005 ;     2705 (ionsat_dep) ; 1.381e-002 ;  1.032e-002 ;     2100 (ionsat_dep) ;    19.185 
 1 ------------------------->   23.40700 % ; 10168.000 ;   10.00000  ;      8 ; -7.141e-005 ;     2705 (ionsat_dep) ; 1.465e-002 ;  8.271e-003 ;     2100 (ionsat_dep) ;    20.656 
 1 ------------------------->   23.63720 % ; 10268.000 ;   10.00000  ;      8 ; -5.875e-005 ;     2705 (ionsat_dep) ; 1.262e-002 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.342 
 1 ------------------------->   23.86740 % ; 10368.000 ;   10.00000  ;      8 ; -5.620e-005 ;     2705 (ionsat_dep) ; 1.187e-002 ;  9.996e-003 ;     2100 (ionsat_dep) ;    19.393 
 1 ------------------------->   24.09761 % ; 10468.000 ;   10.00000  ;      8 ; 6.171e-005 ;     2100 (ionsat_dep) ; 9.975e-003 ;  1.074e-002 ;     2100 (ionsat_dep) ;    18.932 
 1 ------------------------->   24.32781 % ; 10568.000 ;   10.00000  ;      8 ; 5.403e-005 ;     2100 (ionsat_dep) ; 9.914e-003 ;  8.420e-003 ;     2100 (ionsat_dep) ;    20.534 
 1 ------------------------->   24.55801 % ; 10668.000 ;   10.00000  ;      8 ; -6.011e-005 ;     2705 (ionsat_dep) ; 1.297e-002 ;  1.047e-002 ;     2100 (ionsat_dep) ;    19.094 
 1 ------------------------->   24.78821 % ; 10768.000 ;   10.00000  ;      8 ; -7.014e-005 ;     2705 (ionsat_dep) ; 1.480e-002 ;  1.082e-002 ;     2100 (ionsat_dep) ;    18.886 
 1 ------------------------->   25.00000 % ; 10860.000 ;    6.00000  ;      6 ; 5.650e-005 ;     2100 (ionsat_dep) ; 9.708e-003 ;  4.091e-003 ;     2100 (ionsat_dep) ;    15.672 
 1 ------------------------->   25.23020 % ; 10960.000 ;   10.00000  ;      8 ; -7.970e-005 ;     2705 (ionsat_dep) ; 1.653e-002 ;  6.273e-003 ;     2100 (ionsat_dep) ;    22.651 
 1 ------------------------->   25.46041 % ; 11060.000 ;   10.00000  ;      8 ; -7.686e-005 ;     2705 (ionsat_dep) ; 1.551e-002 ;  4.976e-003 ;     2100 (ionsat_dep) ;    24.468 
 1 ------------------------->   25.69061 % ; 11160.000 ;   10.00000  ;      8 ; -7.369e-005 ;     2705 (ionsat_dep) ; 1.473e-002 ;  3.947e-003 ;     2100 (ionsat_dep) ;    26.433 
 1 ------------------------->   25.92081 % ; 11260.000 ;   10.00000  ;      7 ; 9.929e-005 ;     2100 (ionsat_dep) ; 1.794e-002 ;  7.924e-003 ;     2100 (ionsat_dep) ;    20.954 
 1 ------------------------->   26.15101 % ; 11360.000 ;   10.00000  ;      8 ; 5.473e-005 ;     2100 (ionsat_dep) ; 9.567e-003 ;  9.544e-003 ;     2100 (ionsat_dep) ;    19.694 
 1 ------------------------->   26.38122 % ; 11460.000 ;   10.00000  ;      8 ; 5.930e-005 ;     2100 (ionsat_dep) ; 7.773e-003 ;  9.988e-003 ;     2100 (ionsat_dep) ;    19.398 
 1 ------------------------->   26.61142 % ; 11560.000 ;   10.00000  ;      8 ; 6.143e-005 ;     2100 (ionsat_dep) ; 7.712e-003 ;  1.015e-002 ;     2100 (ionsat_dep) ;    19.293 
 1 ------------------------->   26.84162 % ; 11660.000 ;   10.00000  ;      8 ; 5.367e-005 ;     2100 (ionsat_dep) ; 6.002e-003 ;  9.804e-003 ;     2100 (ionsat_dep) ;    19.518 
 1 ------------------------->   27.07182 % ; 11760.000 ;   10.00000  ;      8 ; 5.719e-005 ;     2100 (ionsat_dep) ; 4.901e-003 ;  1.019e-002 ;     2100 (ionsat_dep) ;    19.266 
 1 ------------------------->   27.30203 % ; 11860.000 ;   10.00000  ;      8 ; 6.238e-005 ;     2100 (ionsat_dep) ; 4.664e-003 ;  1.033e-002 ;     2100 (ionsat_dep) ;    19.184 
 1 ------------------------->   27.53223 % ; 11960.000 ;   10.00000  ;      8 ; 5.528e-005 ;     2100 (ionsat_dep) ; 3.572e-003 ;  1.001e-002 ;     2100 (ionsat_dep) ;    19.386 
 1 ------------------------->   27.76243 % ; 12060.000 ;   10.00000  ;      8 ; 6.152e-005 ;     2100 (ionsat_dep) ; 2.798e-003 ;  1.042e-002 ;     2100 (ionsat_dep) ;    19.128 
 1 ------------------------->   27.99263 % ; 12160.000 ;   10.00000  ;      8 ; 5.426e-005 ;     2100 (ionsat_dep) ; 2.448e-003 ;  9.878e-003 ;     2100 (ionsat_dep) ;    19.470 
 1 ------------------------->   28.22284 % ; 12260.000 ;   10.00000  ;      8 ; 5.794e-005 ;     2100 (ionsat_dep) ; 1.905e-003 ;  1.032e-002 ;     2100 (ionsat_dep) ;    19.188 
 1 ------------------------->   28.45304 % ; 12360.000 ;   10.00000  ;      7 ; 9.942e-005 ;     2100 (ionsat_dep) ; 2.428e-003 ;  1.000e-002 ;     2100 (ionsat_dep) ;    19.387 
 1 ------------------------->   28.68324 % ; 12460.000 ;   10.00000  ;      8 ; 5.703e-005 ;     2100 (ionsat_dep) ; 1.151e-003 ;  1.024e-002 ;     2100 (ionsat_dep) ;    19.239 
 1 ------------------------->   28.91344 % ; 12560.000 ;   10.00000  ;      7 ; 9.898e-005 ;     2100 (ionsat_dep) ; 1.373e-003 ;  9.961e-003 ;     2100 (ionsat_dep) ;    19.415 
 1 ------------------------->   29.14365 % ; 12660.000 ;   10.00000  ;     14 ; -7.230e-005 ;     2100 (ionsat_dep) ; 7.920e-005 ;  2.299e-001 ;     1435 (ionsat_dep) ;     6.819 
 1 ------------------------->   29.37385 % ; 12760.000 ;   10.00000  ;      7 ; -9.918e-005 ;     2100 (ionsat_dep) ; 1.979e-002 ;  9.940e-003 ;     2100 (ionsat_dep) ;    19.429 
 1 ------------------------->   29.60405 % ; 12860.000 ;   10.00000  ;      8 ; 6.660e-005 ;     2705 (ionsat_dep) ; 1.440e-002 ;  9.310e-003 ;     2100 (ionsat_dep) ;    19.858 
 1 ------------------------->   29.83425 % ; 12960.000 ;   10.00000  ;      8 ; 5.907e-005 ;     2705 (ionsat_dep) ; 1.256e-002 ;  1.016e-002 ;     2100 (ionsat_dep) ;    19.290 
 1 ------------------------->   30.04604 % ; 13052.000 ;   10.00000  ;      7 ; 9.118e-005 ;     2705 (ionsat_dep) ; 2.016e-002 ;  9.143e-003 ;     2100 (ionsat_dep) ;    19.978 
 1 ------------------------->   30.27624 % ; 13152.000 ;   10.00000  ;      7 ; -9.963e-005 ;     2100 (ionsat_dep) ; 1.645e-002 ;  1.086e-002 ;     2100 (ionsat_dep) ;    18.862 
 1 ------------------------->   30.50645 % ; 13252.000 ;   10.00000  ;      7 ; -9.906e-005 ;     2100 (ionsat_dep) ; 1.612e-002 ;  1.067e-002 ;     2100 (ionsat_dep) ;    18.973 
 1 ------------------------->   30.73665 % ; 13352.000 ;   10.00000  ;      8 ; -7.132e-005 ;     2100 (ionsat_dep) ; 1.069e-002 ;  1.062e-002 ;     2100 (ionsat_dep) ;    19.003 
 1 ------------------------->   30.96685 % ; 13452.000 ;   10.00000  ;      8 ; -6.044e-005 ;     2100 (ionsat_dep) ; 1.020e-002 ;  1.070e-002 ;     2100 (ionsat_dep) ;    18.956 
 1 ------------------------->   31.19705 % ; 13552.000 ;   10.00000  ;      7 ; -9.678e-005 ;     2100 (ionsat_dep) ; 2.073e-002 ;  1.004e-002 ;     2100 (ionsat_dep) ;    19.366 
 1 ------------------------->   31.42726 % ; 13652.000 ;   10.00000  ;      8 ; -6.112e-005 ;     2100 (ionsat_dep) ; 1.105e-002 ;  1.068e-002 ;     2100 (ionsat_dep) ;    18.968 
 1 ------------------------->   31.65746 % ; 13752.000 ;   10.00000  ;      7 ; -9.856e-005 ;     2100 (ionsat_dep) ; 2.171e-002 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.343 
 1 ------------------------->   31.88766 % ; 13852.000 ;   10.00000  ;      8 ; -5.599e-005 ;     2100 (ionsat_dep) ; 1.158e-002 ;  1.062e-002 ;     2100 (ionsat_dep) ;    19.007 
 1 ------------------------->   32.11786 % ; 13952.000 ;   10.00000  ;      8 ; -5.721e-005 ;     2100 (ionsat_dep) ; 1.088e-002 ;  1.053e-002 ;     2100 (ionsat_dep) ;    19.061 
 1 ------------------------->   32.34807 % ; 14052.000 ;   10.00000  ;      8 ; -5.606e-005 ;     2100 (ionsat_dep) ; 1.189e-002 ;  9.932e-003 ;     2100 (ionsat_dep) ;    19.434 
 1 ------------------------->   32.57827 % ; 14152.000 ;   10.00000  ;      8 ; -5.368e-005 ;     2100 (ionsat_dep) ; 9.284e-003 ;  1.010e-002 ;     2100 (ionsat_dep) ;    19.325 
 1 ------------------------->   32.80847 % ; 14252.000 ;   10.00000  ;      8 ; -5.478e-005 ;     2100 (ionsat_dep) ; 7.953e-003 ;  1.017e-002 ;     2100 (ionsat_dep) ;    19.284 
 1 ------------------------->   33.03867 % ; 14352.000 ;   10.00000  ;      8 ; -6.239e-005 ;     2100 (ionsat_dep) ; 7.026e-003 ;  1.112e-002 ;     2100 (ionsat_dep) ;    18.715 
 1 ------------------------->   33.26888 % ; 14452.000 ;   10.00000  ;      8 ; -6.445e-005 ;     2100 (ionsat_dep) ; 6.743e-003 ;  1.083e-002 ;     2100 (ionsat_dep) ;    18.879 
 1 ------------------------->   33.49908 % ; 14552.000 ;   10.00000  ;      8 ; -5.773e-005 ;     2100 (ionsat_dep) ; 4.600e-003 ;  1.056e-002 ;     2100 (ionsat_dep) ;    19.039 
 1 ------------------------->   33.72928 % ; 14652.000 ;   10.00000  ;      8 ; -6.196e-005 ;     2100 (ionsat_dep) ; 3.098e-003 ;  1.068e-002 ;     2100 (ionsat_dep) ;    18.971 
 1 ------------------------->   33.95948 % ; 14752.000 ;   10.00000  ;      8 ; -6.030e-005 ;     2100 (ionsat_dep) ; 1.778e-003 ;  1.089e-002 ;     2100 (ionsat_dep) ;    18.846 
 1 ------------------------->   34.18969 % ; 14852.000 ;   10.00000  ;      8 ; -5.442e-005 ;     2100 (ionsat_dep) ; 1.732e-003 ;  1.006e-002 ;     2100 (ionsat_dep) ;    19.350 
 1 ------------------------->   34.41989 % ; 14952.000 ;   10.00000  ;      8 ; -7.139e-005 ;     2100 (ionsat_dep) ; 4.003e-003 ;  1.102e-002 ;     2100 (ionsat_dep) ;    18.770 
 1 ------------------------->   34.65009 % ; 15052.000 ;   10.00000  ;      8 ; -5.748e-005 ;     2100 (ionsat_dep) ; 5.600e-003 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.119 
 1 ------------------------->   34.88029 % ; 15152.000 ;   10.00000  ;      8 ; -6.217e-005 ;     2100 (ionsat_dep) ; 8.339e-003 ;  1.042e-002 ;     2100 (ionsat_dep) ;    19.128 
 1 ------------------------->   35.09208 % ; 15244.000 ;   10.00000  ;      7 ; -9.905e-005 ;     2100 (ionsat_dep) ; 1.426e-002 ;  9.770e-003 ;     2100 (ionsat_dep) ;    19.541 
 1 ------------------------->   35.32228 % ; 15344.000 ;   10.00000  ;      8 ; -6.102e-005 ;     2100 (ionsat_dep) ; 1.216e-002 ;  1.034e-002 ;     2100 (ionsat_dep) ;    19.178 
 1 ------------------------->   35.55249 % ; 15444.000 ;   10.00000  ;      7 ; -9.434e-005 ;     2100 (ionsat_dep) ; 1.964e-002 ;  1.015e-002 ;     2100 (ionsat_dep) ;    19.291 
 1 ------------------------->   35.78269 % ; 15544.000 ;   10.00000  ;      7 ; -9.658e-005 ;     2100 (ionsat_dep) ; 2.119e-002 ;  1.011e-002 ;     2100 (ionsat_dep) ;    19.320 
 1 ------------------------->   36.01289 % ; 15644.000 ;   10.00000  ;      7 ; -9.587e-005 ;     2100 (ionsat_dep) ; 2.010e-002 ;  1.048e-002 ;     2100 (ionsat_dep) ;    19.092 
 1 ------------------------->   36.24309 % ; 15744.000 ;   10.00000  ;      8 ; -5.977e-005 ;     2100 (ionsat_dep) ; 1.138e-002 ;  1.083e-002 ;     2100 (ionsat_dep) ;    18.883 
 1 ------------------------->   36.47330 % ; 15844.000 ;   10.00000  ;      8 ; -5.329e-005 ;     2100 (ionsat_dep) ; 1.038e-002 ;  1.054e-002 ;     2100 (ionsat_dep) ;    19.054 
 1 ------------------------->   36.70350 % ; 15944.000 ;   10.00000  ;      9 ; 8.162e-005 ;      819 (ionsat_dep) ; 5.159e-003 ;  3.612e-002 ;     1265 (ionsat_dep) ;    12.638 
 1 ------------------------->   36.93370 % ; 16044.000 ;   10.00000  ;      7 ; -7.817e-005 ;     2100 (ionsat_dep) ; 1.800e-002 ;  9.603e-003 ;     2100 (ionsat_dep) ;    19.653 
 1 ------------------------->   37.16390 % ; 16144.000 ;   10.00000  ;      8 ; -5.829e-005 ;     2705 (ionsat_dep) ; 1.246e-002 ;  1.052e-002 ;     2100 (ionsat_dep) ;    19.064 
 1 ------------------------->   37.39411 % ; 16244.000 ;   10.00000  ;      8 ; -5.987e-005 ;     2705 (ionsat_dep) ; 1.258e-002 ;  1.041e-002 ;     2100 (ionsat_dep) ;    19.131 
 1 ------------------------->   37.62431 % ; 16344.000 ;   10.00000  ;      8 ; -5.619e-005 ;     2100 (ionsat_dep) ; 1.102e-002 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.117 
 1 ------------------------->   37.85451 % ; 16444.000 ;   10.00000  ;      8 ; -6.089e-005 ;     2100 (ionsat_dep) ; 8.786e-003 ;  1.051e-002 ;     2100 (ionsat_dep) ;    19.070 
 1 ------------------------->   38.08471 % ; 16544.000 ;   10.00000  ;      8 ; -6.217e-005 ;     2100 (ionsat_dep) ; 8.540e-003 ;  1.042e-002 ;     2100 (ionsat_dep) ;    19.127 
 1 ------------------------->   38.31492 % ; 16644.000 ;   10.00000  ;      8 ; -5.390e-005 ;     2100 (ionsat_dep) ; 6.614e-003 ;  9.884e-003 ;     2100 (ionsat_dep) ;    19.465 
 1 ------------------------->   38.54512 % ; 16744.000 ;   10.00000  ;      8 ; -5.673e-005 ;     2100 (ionsat_dep) ; 5.365e-003 ;  1.013e-002 ;     2100 (ionsat_dep) ;    19.306 
 1 ------------------------->   38.77532 % ; 16844.000 ;   10.00000  ;      8 ; -6.195e-005 ;     2100 (ionsat_dep) ; 4.364e-003 ;  1.044e-002 ;     2100 (ionsat_dep) ;    19.112 
 1 ------------------------->   39.00552 % ; 16944.000 ;   10.00000  ;      8 ; -5.411e-005 ;     2100 (ionsat_dep) ; 3.871e-003 ;  9.816e-003 ;     2100 (ionsat_dep) ;    19.510 
 1 ------------------------->   39.23573 % ; 17044.000 ;   10.00000  ;      8 ; -5.772e-005 ;     2100 (ionsat_dep) ; 3.078e-003 ;  1.021e-002 ;     2100 (ionsat_dep) ;    19.258 
 1 ------------------------->   39.46593 % ; 17144.000 ;   10.00000  ;      8 ; -6.316e-005 ;     2100 (ionsat_dep) ; 2.848e-003 ;  1.038e-002 ;     2100 (ionsat_dep) ;    19.152 
 1 ------------------------->   39.69613 % ; 17244.000 ;   10.00000  ;      8 ; -5.628e-005 ;     2100 (ionsat_dep) ; 2.103e-003 ;  1.009e-002 ;     2100 (ionsat_dep) ;    19.329 
 1 ------------------------->   39.92634 % ; 17344.000 ;   10.00000  ;      8 ; -6.254e-005 ;     2100 (ionsat_dep) ; 1.834e-003 ;  1.028e-002 ;     2100 (ionsat_dep) ;    19.214 
 1 ------------------------->   40.13812 % ; 17436.000 ;   10.00000  ;      8 ; -6.156e-005 ;     2100 (ionsat_dep) ; 1.446e-003 ;  1.030e-002 ;     2100 (ionsat_dep) ;    19.202 
 1 ------------------------->   40.36832 % ; 17536.000 ;   10.00000  ;      8 ; -5.507e-005 ;     2100 (ionsat_dep) ; 1.006e-003 ;  9.960e-003 ;     2100 (ionsat_dep) ;    19.416 
 1 ------------------------->   40.59853 % ; 17636.000 ;   10.00000  ;      8 ; -6.206e-005 ;     2100 (ionsat_dep) ; 6.990e-004 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.118 
 1 ------------------------->   40.82873 % ; 17736.000 ;   10.00000  ;      8 ; -5.501e-005 ;     2100 (ionsat_dep) ; 4.587e-004 ;  9.920e-003 ;     2100 (ionsat_dep) ;    19.442 
 1 ------------------------->   41.05893 % ; 17836.000 ;   10.00000  ;      8 ; -6.217e-005 ;     2100 (ionsat_dep) ; 3.726e-004 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.120 
 1 ------------------------->   41.28913 % ; 17936.000 ;   10.00000  ;      8 ; -5.515e-005 ;     2100 (ionsat_dep) ; 6.820e-004 ;  9.976e-003 ;     2100 (ionsat_dep) ;    19.406 
 1 ------------------------->   41.51934 % ; 18036.000 ;   10.00000  ;      8 ; -6.199e-005 ;     2100 (ionsat_dep) ; 8.950e-004 ;  1.022e-002 ;     2100 (ionsat_dep) ;    19.253 
 1 ------------------------->   41.74954 % ; 18136.000 ;   10.00000  ;      9 ; 6.318e-005 ;     2100 (ionsat_dep) ; 6.231e-003 ;  7.250e-003 ;     2112 (ionsat_dep) ;    21.584 
 1 ------------------------->   41.97974 % ; 18236.000 ;   10.00000  ;      8 ; 6.901e-005 ;     2705 (ionsat_dep) ; 1.508e-002 ;  3.952e-003 ;     2104 (ionsat_dep) ;    26.421 
 1 ------------------------->   42.20994 % ; 18336.000 ;   10.00000  ;      8 ; 6.419e-005 ;     2705 (ionsat_dep) ; 1.446e-002 ;  6.128e-003 ;     1484 (ionsat_dep) ;    22.828 
 1 ------------------------->   42.44015 % ; 18436.000 ;   10.00000  ;      8 ; 6.697e-005 ;     2705 (ionsat_dep) ; 1.397e-002 ;  8.076e-003 ;     2100 (ionsat_dep) ;    20.821 
 1 ------------------------->   42.67035 % ; 18536.000 ;   10.00000  ;      8 ; 5.892e-005 ;     2705 (ionsat_dep) ; 1.215e-002 ;  9.184e-003 ;     2100 (ionsat_dep) ;    19.948 
 1 ------------------------->   42.90055 % ; 18636.000 ;   10.00000  ;      8 ; 6.827e-005 ;     2100 (ionsat_dep) ; 1.183e-002 ;  1.076e-002 ;     2100 (ionsat_dep) ;    18.922 
 1 ------------------------->   43.13076 % ; 18736.000 ;   10.00000  ;      8 ; 5.923e-005 ;     2100 (ionsat_dep) ; 1.044e-002 ;  1.034e-002 ;     2100 (ionsat_dep) ;    19.172 
 1 ------------------------->   43.36096 % ; 18836.000 ;   10.00000  ;      8 ; 5.947e-005 ;     2100 (ionsat_dep) ; 1.088e-002 ;  1.048e-002 ;     2100 (ionsat_dep) ;    19.090 
 1 ------------------------->   43.59116 % ; 18936.000 ;   10.00000  ;      8 ; 6.121e-005 ;     2100 (ionsat_dep) ; 1.234e-002 ;  1.029e-002 ;     2100 (ionsat_dep) ;    19.205 
 1 ------------------------->   43.82136 % ; 19036.000 ;   10.00000  ;      8 ; 6.073e-005 ;     2705 (ionsat_dep) ; 1.263e-002 ;  9.580e-003 ;     2100 (ionsat_dep) ;    19.669 
 1 ------------------------->   44.05157 % ; 19136.000 ;   10.00000  ;      8 ; 6.409e-005 ;     2705 (ionsat_dep) ; 1.316e-002 ;  1.040e-002 ;     2100 (ionsat_dep) ;    19.137 
 1 ------------------------->   44.28177 % ; 19236.000 ;   10.00000  ;      7 ; 7.821e-005 ;     2705 (ionsat_dep) ; 1.967e-002 ;  9.784e-003 ;     2100 (ionsat_dep) ;    19.531 
 1 ------------------------->   44.51197 % ; 19336.000 ;   10.00000  ;      8 ; 6.065e-005 ;     2100 (ionsat_dep) ; 1.102e-002 ;  1.051e-002 ;     2100 (ionsat_dep) ;    19.074 
 1 ------------------------->   44.74217 % ; 19436.000 ;   10.00000  ;      8 ; 6.170e-005 ;     2100 (ionsat_dep) ; 1.212e-002 ;  1.037e-002 ;     2100 (ionsat_dep) ;    19.157 
 1 ------------------------->   44.97238 % ; 19536.000 ;   10.00000  ;      7 ; 9.867e-005 ;     2100 (ionsat_dep) ; 1.768e-002 ;  1.033e-002 ;     2100 (ionsat_dep) ;    19.184 
 1 ------------------------->   45.18416 % ; 19628.000 ;   10.00000  ;      8 ; 6.112e-005 ;     2100 (ionsat_dep) ; 8.304e-003 ;  1.074e-002 ;     2100 (ionsat_dep) ;    18.935 
 1 ------------------------->   45.41436 % ; 19728.000 ;   10.00000  ;      6 ; 8.569e-005 ;     2100 (ionsat_dep) ; 2.164e-002 ;  8.463e-003 ;     2100 (ionsat_dep) ;    20.499 
 1 ------------------------->   45.64457 % ; 19828.000 ;   10.00000  ;      7 ; 9.387e-005 ;     2100 (ionsat_dep) ; 1.093e-002 ;  1.015e-002 ;     2100 (ionsat_dep) ;    19.292 
 1 ------------------------->   45.87477 % ; 19928.000 ;   10.00000  ;      8 ; 5.781e-005 ;     2100 (ionsat_dep) ; 6.411e-003 ;  1.030e-002 ;     2100 (ionsat_dep) ;    19.198 
 1 ------------------------->   46.10497 % ; 20028.000 ;   10.00000  ;      8 ; 6.180e-005 ;     2100 (ionsat_dep) ; 3.993e-003 ;  1.066e-002 ;     2100 (ionsat_dep) ;    18.979 
 1 ------------------------->   46.33517 % ; 20128.000 ;   10.00000  ;      8 ; 5.634e-005 ;     2100 (ionsat_dep) ; 2.672e-003 ;  1.013e-002 ;     2100 (ionsat_dep) ;    19.306 
 1 ------------------------->   46.56538 % ; 20228.000 ;   10.00000  ;      8 ; 5.390e-005 ;     2100 (ionsat_dep) ; 9.799e-004 ;  1.023e-002 ;     2100 (ionsat_dep) ;    19.244 
 1 ------------------------->   46.79558 % ; 20328.000 ;   10.00000  ;      8 ; 5.763e-005 ;     2100 (ionsat_dep) ; 2.593e-003 ;  1.044e-002 ;     2100 (ionsat_dep) ;    19.115 
 1 ------------------------->   47.02578 % ; 20428.000 ;   10.00000  ;      8 ; 5.986e-005 ;     2100 (ionsat_dep) ; 4.481e-003 ;  1.048e-002 ;     2100 (ionsat_dep) ;    19.090 
 1 ------------------------->   47.25599 % ; 20528.000 ;   10.00000  ;      8 ; 6.219e-005 ;     2100 (ionsat_dep) ; 7.323e-003 ;  1.045e-002 ;     2100 (ionsat_dep) ;    19.108 
 1 ------------------------->   47.48619 % ; 20628.000 ;   10.00000  ;      8 ; 5.460e-005 ;     2100 (ionsat_dep) ; 8.755e-003 ;  1.008e-002 ;     2100 (ionsat_dep) ;    19.338 
 1 ------------------------->   47.71639 % ; 20728.000 ;   10.00000  ;      8 ; 5.630e-005 ;     2100 (ionsat_dep) ; 1.030e-002 ;  1.020e-002 ;     2100 (ionsat_dep) ;    19.262 
 1 ------------------------->   47.94659 % ; 20828.000 ;   10.00000  ;      7 ; 9.488e-005 ;     2100 (ionsat_dep) ; 1.712e-002 ;  1.053e-002 ;     2100 (ionsat_dep) ;    19.060 
 1 ------------------------->   48.17680 % ; 20928.000 ;   10.00000  ;      8 ; -6.234e-005 ;     2705 (ionsat_dep) ; 1.301e-002 ;  1.043e-002 ;     2100 (ionsat_dep) ;    19.122 
 1 ------------------------->   48.40700 % ; 21028.000 ;   10.00000  ;      8 ; -6.485e-005 ;     2705 (ionsat_dep) ; 1.341e-002 ;  1.040e-002 ;     2100 (ionsat_dep) ;    19.139 
 1 ------------------------->   48.63720 % ; 21128.000 ;   10.00000  ;      8 ; -6.560e-005 ;     2705 (ionsat_dep) ; 1.404e-002 ;  1.076e-002 ;     2100 (ionsat_dep) ;    18.925 
 1 ------------------------->   48.86740 % ; 21228.000 ;   10.00000  ;      8 ; 6.094e-005 ;     2100 (ionsat_dep) ; 1.239e-002 ;  1.049e-002 ;     2100 (ionsat_dep) ;    19.083 
 1 ------------------------->   49.09761 % ; 21328.000 ;   10.00000  ;      8 ; 5.779e-005 ;     2100 (ionsat_dep) ; 8.613e-003 ;  1.090e-002 ;     2100 (ionsat_dep) ;    18.843 
 1 ------------------------->   49.32781 % ; 21428.000 ;   10.00000  ;      8 ; 5.395e-005 ;     2100 (ionsat_dep) ; 1.049e-002 ;  8.147e-003 ;     2100 (ionsat_dep) ;    20.761 
 1 ------------------------->   49.55801 % ; 21528.000 ;   10.00000  ;      8 ; 6.480e-005 ;     2100 (ionsat_dep) ; 1.379e-002 ;  1.087e-002 ;     2100 (ionsat_dep) ;    18.858 
 1 ------------------------->   49.78821 % ; 21628.000 ;   10.00000  ;      8 ; -6.088e-005 ;     2705 (ionsat_dep) ; 1.289e-002 ;  1.069e-002 ;     2100 (ionsat_dep) ;    18.961 
 1 ------------------------->   50.00000 % ; 21720.000 ;    6.00000  ;      6 ; 7.188e-005 ;     2100 (ionsat_dep) ; 6.891e-003 ;  6.009e-003 ;     2100 (ionsat_dep) ;    13.787 
 1 ------------------------->   50.23020 % ; 21820.000 ;   10.00000  ;      7 ; 9.899e-005 ;     2100 (ionsat_dep) ; 1.664e-002 ;  1.030e-002 ;     2100 (ionsat_dep) ;    19.201 
 1 ------------------------->   50.46041 % ; 21920.000 ;   10.00000  ;      8 ; 5.382e-005 ;     2100 (ionsat_dep) ; 8.911e-003 ;  1.009e-002 ;     2100 (ionsat_dep) ;    19.330 
 1 ------------------------->   50.69061 % ; 22020.000 ;   10.00000  ;      8 ; 5.561e-005 ;     2100 (ionsat_dep) ; 7.484e-003 ;  1.027e-002 ;     2100 (ionsat_dep) ;    19.221 
 1 ------------------------->   50.92081 % ; 22120.000 ;   10.00000  ;      8 ; 6.073e-005 ;     2100 (ionsat_dep) ; 5.997e-003 ;  1.046e-002 ;     2100 (ionsat_dep) ;    19.101 
 1 ------------------------->   51.15101 % ; 22220.000 ;   10.00000  ;      7 ; 9.767e-005 ;     2100 (ionsat_dep) ; 8.415e-003 ;  9.984e-003 ;     2100 (ionsat_dep) ;    19.400 
 1 ------------------------->   51.38122 % ; 22320.000 ;   10.00000  ;      8 ; 5.520e-005 ;     2100 (ionsat_dep) ; 4.500e-003 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.347 
 1 ------------------------->   51.61142 % ; 22420.000 ;   10.00000  ;      8 ; 6.141e-005 ;     2100 (ionsat_dep) ; 3.560e-003 ;  1.040e-002 ;     2100 (ionsat_dep) ;    19.138 
 1 ------------------------->   51.84162 % ; 22520.000 ;   10.00000  ;      7 ; 9.971e-005 ;     2100 (ionsat_dep) ; 4.895e-003 ;  1.006e-002 ;     2100 (ionsat_dep) ;    19.349 
